Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"0,024889","-0,0078019","0,0086865",0,0,0,"2,8833","0,006654","-3,0829E-05","-0,00028642","0,0097728","-1,0285E-05","0,0045007",0,0,0,0,0,0,package://assembly_hamster/meshes/base_link.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://assembly_hamster/meshes/base_link.STL,,joint_base^assembly_hamster-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
1_Link,"0,01351","0,037179","-0,003383",0,0,0,"2,6545","0,0023682","8,0753E-05","1,7978E-05","0,0032175","4,8925E-05","0,0021073",0,0,0,0,0,0,package://assembly_hamster/meshes/1_Link.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://assembly_hamster/meshes/1_Link.STL,,joint_1^assembly_hamster-1,Origin_joint_1,Axis_joint_1,joint_1,continuous,0,0,"0,0202","1,5708",0,0,base_link,0,1,0,,,,,,,,,,,,
2_1_Link,"-0,079036","-0,016436","-1,1424E-05",0,0,0,"0,55117","7,293E-05","4,1886E-08","1,1981E-07","0,00070853","4,1934E-08","0,00068782",0,0,0,0,0,0,package://assembly_hamster/meshes/2_1_Link.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://assembly_hamster/meshes/2_1_Link.STL,,joint_2_1-1,Origin_joint_2_1,Axis_joint_2_1,joint_2_1,continuous,"-0,0285","0,055",0,"1,5708",0,"-1,3472",1_Link,0,1,0,,,,,,,,,,,,
3_Link,"-0,0704447246010788","0,343494150571024","-0,03888635607788",0,0,0,"0,240854595463992","5,70384323950151E-05","2,03886631821913E-05","-3,0839576044844E-08","0,000450948009144471","4,17435822214057E-09","0,000492580105984167",0,0,0,0,0,0,package://assembly_hamster/meshes/3_Link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://assembly_hamster/meshes/3_Link.STL,,joint_3_base^assembly_hamster-1,Origin_joint_3_base,,joint_3_base,fixed,"0,077076",0,"0,024656","-1,5708","1,3472",0,2_1_Link,0,0,0,,,,,,,,,,,,
3_1_Link,"0,0225113352518309","0,0816101189194423","0,0111429600420675",0,0,0,"0,706946980905885","0,00157450700015675","3,60972844158452E-11","1,93929692550891E-06","0,000107129521994653","-7,73897691995558E-12","0,00157126380530245",0,0,0,0,0,0,package://assembly_hamster/meshes/3_1_Link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://assembly_hamster/meshes/3_1_Link.STL,,joint_3_1^assembly_hamster-1,Origin_joint_3_1,Axis_joint_3_1,joint_3_1,continuous,"-0,048498","0,3244",0,0,0,"2,1095",3_Link,0,0,1,,,,,,,,,,,,
last_Link,"0,00458290320651195","0,00403833478304899","-0,0619326448877698",0,0,0,"1,25124090194283","0,000910187410735932","-8,26464406621072E-05","-0,000139433164917929","0,00114548708038895","-8,56917911613583E-05","0,000580086863956969",0,0,0,0,0,0,package://assembly_hamster/meshes/last_Link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://assembly_hamster/meshes/last_Link.STL,,joint_last-1,Origin_joint_last,,joint_last,fixed,0,"0,25","-0,0005","2,1095","-1,5708",0,3_1_Link,0,0,0,,,,,,,,,,,,
end_Link,"5,86233622760363E-06","-0,000606087650654452","0,0417223441506261",0,0,0,"0,442243456619388","8,43721038666399E-05","2,09810431459494E-07","-2,31972138398739E-07","8,65761187754296E-05","2,91645480078844E-06","7,21955526660134E-05",0,0,0,0,0,0,package://assembly_hamster/meshes/end_Link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://assembly_hamster/meshes/end_Link.STL,,end_effector^assembly_hamster-1,Origin_joint_end_effector,Axis_joint_end_effector,joint_end_effector,continuous,0,"0,032","-0,045","1,5708","0,021754","3,1416",last_Link,0,0,1,,,,,,,,,,,,
3_2_Link,"0,0125186312495149","-0,110087387781772","-0,0592095182502816",0,0,0,"0,0914145398110059","0,00028423216892371","-3,20404228246573E-22","1,68681133605372E-22","6,52175629641466E-05","-0,000117144678218105","0,000220017724009756",0,0,0,0,0,0,package://assembly_hamster/meshes/3_2_Link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://assembly_hamster/meshes/3_2_Link.STL,,joint_12^assembly_hamster-2,Origin_joint_3_2,Axis_joint_3_2,joint_3_2,continuous,"-0,14389","0,3544","-0,0385","0,53867","1,5708",0,3_Link,1,0,0,,,,,,,,,,,,
2_2_Link,"0,0125186330308034","-5,04200847739611E-13","-0,124999999821934",0,0,0,"0,0914145398110059","0,00028423216892371","-1,48591409789596E-22","4,01886948161982E-12","0,000283022942887509","-9,82526455079572E-18","2,2123440863941E-06",0,0,0,0,0,0,package://assembly_hamster/meshes/2_2_Link.STL,"0,752941176470588","0,752941176470588","0,752941176470588",1,0,0,0,0,0,0,package://assembly_hamster/meshes/2_2_Link.STL,,joint_12^assembly_hamster-1,Origin_joint_2_2,Axis_joint_2_2,joint_2_2,continuous,"0,018233","0,084","-0,0385","1,3472","1,5708",0,1_Link,1,0,0,,,,,,,,,,,,
2_3_Link,"-0,0203586891646382","0,00618521687638097","0,0033303422412773",0,0,0,"0,186358445989438","7,16227569215315E-05","-1,92402998634006E-05","-1,03596709723131E-05","4,10839403569861E-05","-1,96363699072597E-05","6,6975855090765E-05",0,0,0,0,0,0,package://assembly_hamster/meshes/2_3_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://assembly_hamster/meshes/2_3_Link.STL,,joint_taga_12^assembly_hamster-1,Origin_joint_2_3,Axis_joint_2_3,joint_2_3,continuous,"-0,0285","0,055","0,0094224","0,53842","1,5708",0,1_Link,1,0,0,,,,,,,,,,,,
2_31_Link,"0,00200479286431724","-0,0530715120057212","-0,113447072779546",0,0,0,"0,193595537748519","0,00108474078730181","-6,7073073038382E-08","-1,43272899017641E-07","0,000889550434811994","-0,000413994395468085","0,000198216160127084",0,0,0,0,0,0,package://assembly_hamster/meshes/2_31_Link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://assembly_hamster/meshes/2_31_Link.STL,,joint_2_2-1,Origin_joint_2_31,Axis_joint_2_31,joint_2_31,continuous,0,"0,044023","0,023706","1,2463",0,0,2_3_Link,1,0,0,,,,,,,,,,,,
